ordered_target_frames_achieved,timestep
0.0,2000
0.0,4000
0.0,6000
0.0,8000
0.0,10000
0.0,12000
0.0,14000
0.0,16000
0.0,18000
0.0,20000
0.0,22000
0.0,24000
0.0,26000
0.0,28000
0.0,30000
0.0,32000
0.0,34000
0.0,36000
0.0,38000
0.0,40000
0.0,42000
0.0,44000
0.0,46000
0.0,48000
0.0,50000
0.0,52000
0.0,54000
0.0,56000
0.0,58000
0.0,60000
0.0,62000
0.0,64000
0.0,66000
0.0,68000
0.0,70000
0.0,72000
0.0,74000
0.0,76000
0.0,78000
0.0,80000
0.0,82000
0.0,84000
0.0,86000
0.0,88000
0.0,90000
0.0,92000
0.0,94000
0.0,96000
0.0,98000
0.0,100000
0.0,2000
0.0,4000
0.0,6000
0.0,8000
0.0,10000
0.0,12000
0.0,14000
0.0,16000
0.0,18000
0.0,20000
0.0,22000
0.0,24000
0.0,26000
0.0,28000
0.5,30000
0.0,32000
0.0,34000
0.0,36000
0.0,38000
0.0,40000
0.0,42000
0.0,44000
0.0,46000
0.0,48000
0.0,50000
0.0,52000
0.0,54000
0.0,56000
0.0,58000
0.0,60000
0.0,62000
0.0,64000
0.0,66000
0.0,68000
0.0,70000
0.0,72000
0.0,74000
0.0,76000
0.0,78000
0.0,80000
0.0,82000
0.0,84000
0.0,86000
0.0,88000
0.0,90000
0.0,92000
0.0,94000
0.0,96000
0.0,98000
0.0,100000
1.0,2000
1.0,4000
1.0,6000
1.0,8000
0.6666666666666666,10000
0.6666666666666666,12000
1.0,14000
0.6666666666666666,16000
0.0,2000
0.5,4000
0.5,6000
0.5,8000
0.5,10000
0.5,12000
0.5,14000
0.5,16000
0.5,18000
0.5,20000
0.5,22000
0.5,24000
0.5,26000
0.5,28000
0.5,30000
0.5,32000
0.5,34000
0.5,36000
0.5,38000
0.5,40000
0.5,42000
0.5,44000
0.5,46000
0.5,48000
0.5,50000
0.5,52000
0.5,54000
0.5,56000
0.5,58000
0.5,60000
0.5,62000
0.5,64000
0.5,66000
0.5,68000
0.5,70000
0.5,72000
0.5,74000
0.5,76000
0.5,78000
0.5,80000
0.5,82000
0.5,84000
0.5,86000
0.5,88000
0.5,90000
0.0,2000
0.0,4000
0.0,6000
0.0,8000
0.0,10000
0.0,12000
0.0,14000
0.0,16000
0.0,18000
0.0,20000
0.0,22000
0.0,24000
0.0,26000
0.0,28000
0.0,30000
0.0,32000
0.0,34000
0.0,36000
0.0,38000
0.0,40000
0.0,42000
0.0,44000
0.0,46000
0.0,48000
0.0,50000
0.0,52000
0.0,54000
0.0,56000
0.0,58000
0.0,60000
0.0,62000
0.0,64000
0.3333333333333333,2000
0.0,66000
0.3333333333333333,4000
0.0,68000
0.3333333333333333,6000
0.0,70000
0.3333333333333333,8000
0.3333333333333333,10000
0.0,72000
0.3333333333333333,12000
0.0,74000
0.6666666666666666,14000
0.0,76000
0.3333333333333333,16000
0.0,78000
0.3333333333333333,18000
0.0,80000
0.3333333333333333,20000
0.0,82000
0.3333333333333333,22000
0.0,84000
0.6666666666666666,24000
0.3333333333333333,26000
0.0,86000
0.6666666666666666,28000
0.0,88000
0.3333333333333333,30000
0.0,90000
0.3333333333333333,32000
0.0,92000
0.3333333333333333,34000
0.0,94000
0.3333333333333333,36000
0.0,96000
0.3333333333333333,38000
0.0,98000
0.3333333333333333,40000
0.3333333333333333,42000
0.0,100000
0.3333333333333333,44000
0.3333333333333333,46000
0.3333333333333333,48000
0.3333333333333333,50000
0.6666666666666666,52000
0.3333333333333333,54000
0.6666666666666666,56000
